feature,importance
life_expectancy,0.6088379314432253
infant_mortality,0.2093313419870415
infectious_disease_rate,0.08477528107956123
pop_growth,0.026132548843314816
crude_death_rate,0.02425378999525952
trade_percent_gdp,0.014503567645335703
crude_birth_rate,0.007031148423215942
country_USA,0.006766727778314426
noncommunicable_disease_rate,0.004731315005599293
dtm_stage,0.0041759395123256654
population,0.0037324461649201383
country_CHN,0.002362983084458418
country_ZAF,0.001976219866273926
country_FRA,0.00046765201987544915
country_GBR,0.00036853233691734057
country_SAU,0.0001680550322655829
country_CAN,0.00010201091673695502
country_BRA,7.223603292238131e-05
country_DEU,6.466651459799874e-05
country_RUS,5.054243430672753e-05
country_MEX,4.4937676301221575e-05
country_JPN,2.404351677272645e-05
country_IND,2.0448784954379448e-05
etm_stage,5.4378870059095264e-06
country_NGA,1.9601849741984875e-07
