feature,importance
infectious_disease_rate,0.8662807367953921
crude_birth_rate,0.05076933768799933
gdp_per_capita,0.0293767669833548
pop_growth,0.01950938609770717
dtm_stage,0.014508564904783638
crude_death_rate,0.010428966503614086
trade_percent_gdp,0.002842686926509764
etm_stage,0.002237763555871491
country_NGA,0.0016714673873513845
noncommunicable_disease_rate,0.0009387761251761521
population,0.0006251719203930937
country_IND,0.00038585619244322456
country_JPN,0.0001202195676792677
country_ZAF,0.00011459759087346554
country_SAU,7.149050426031643e-05
country_CHN,3.346222545409912e-05
country_RUS,3.270236136511021e-05
country_USA,1.712916398301136e-05
country_FRA,1.0823898693214155e-05
country_GBR,8.291741961881532e-06
country_CAN,5.56197458238772e-06
country_MEX,4.888964356646396e-06
country_BRA,4.326192039920267e-06
country_DEU,1.0247341542814438e-06
