feature,importance
infectious_disease_rate,0.7115402310663727
gdp_per_capita,0.15291040847355236
crude_death_rate,0.10269984261602223
crude_birth_rate,0.008902276228690798
pop_growth,0.008866290438230895
noncommunicable_disease_rate,0.00446684241065613
trade_percent_gdp,0.0027614100838011515
dtm_stage,0.0017320104001503338
country_JPN,0.001569678221176616
etm_stage,0.0009144590015095609
country_ZAF,0.0008558311003162171
country_NGA,0.0007474857448264185
country_RUS,0.0006289415533287709
population,0.000544841387804939
country_IND,0.00027707447427614444
country_USA,0.00021868793219097303
country_DEU,8.71331542551979e-05
country_GBR,7.361461921599206e-05
country_FRA,6.570788192035933e-05
country_CHN,6.000883508711715e-05
country_CAN,2.747401171330607e-05
country_SAU,2.6881298448143876e-05
country_MEX,1.3272820305201876e-05
country_BRA,9.596246148479913e-06
